estudio,cidade,provincia,url,status_navegador,http,achado,observacao_curta
Coyle Digital,Toronto,,https://coylefilms.com/,VAZIO_OU_JS,400,,"""use CONNECT"""
Crystal Insight,Vancouver,British Columbia,http://crystalinsight.com/jobs/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Dacosta!,Vancouver,British Columbia,http://chocolatesoop.com/,VAZIO_OU_JS,502,,"""bridge error read ECONNRESET"""
Dark Shadow VFX,Vancouver,British Columbia,https://www.darkshadowvfx.com/page-2/,VAZIO_OU_JS,404,,"""Not Found The requested URL was not found on this server. Additionally, a 404 Not Found error was encountered while trying to use an ErrorDocument to handle the request."""
Darkhorse10,Vancouver,British Columbia,https://www.darkhorse10.com/jobs/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Deluxe Animation Studios,Toronto,Ontario,https://bydeluxe.wd5.myworkdayjobs.com/Deluxe_Animation_External,VAZIO_OU_JS,404,,"""English Page not found. The URL you have provided is invalid. Please contact the Workday Administrator at your company if you require assistance. © 2026 Workday, Inc. All rights reserved."""
Digital Leisure,Richmond Hill,Ontario,http://digitalleisure.com/,VAZIO_OU_JS,502,,"""bridge error write EPROTO C0BCEF49AC7F0000:error:0A0000C6:SSL routines:tls_get_more_records:packet length too long:../deps/openssl/openssl/ssl/record/methods/tls_common.c:660:"""
Digital Ronin,Halifax,Nova Scotia,http://digitalronin.ca/,VAZIO_OU_JS,200,,"""Home Work Services Contact See more of our work on Vimeo. Contact Not readable? Change text. SUBMIT Copyright All Rights Reserved © 2015"""
DreamCraft Attractions,Vancouver,British Columbia,http://www.dreamcraftattractions.com/careers,VAZIO_OU_JS,504,,"""error code: 504"""
Finger Food Studios,Calgary,Alberta,https://www.fingerfoodstudios.com/careers/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Fire-Point Interactive,Burnaby,British Columbia,https://www.firepointgames.com/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Fluxscopic,Kitchener,Ontario,http://fluxscopic.com/,VAZIO_OU_JS,502,,"""bridge error socket hang up"""
Flying Car Productions,Vancouver,British Columbia,http://www.flyingcarproductions.com/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Frame Lab Studios,Vancouver,British Columbia,http://framelabstudios.com/,VAZIO_OU_JS,502,,"""bridge error Client network socket disconnected before secure TLS connection was established"""
Galavant VFX,Vancouver,British Columbia,https://galavantvfx.com/,VAZIO_OU_JS,502,,"""bridge error read ECONNRESET"""
Gallus Entertainment,Sudbury,Ontario,http://www.gallusentertainment.com/recruitment.php,VAZIO_OU_JS,502,,"""upstream dial failed"""
Gener8,Vancouver,British Columbia,https://www.gener8.com/careers/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Get Set Games,Toronto,Ontario,https://www.getsetgames.com/careers,VAZIO_OU_JS,404,,"""Page Not Found The page you are looking for does not exist or may have been moved. Back to Home"""
Goh Van,Vancouver,British Columbia,https://www.goh-van.com/career,VAZIO_OU_JS,502,,"""upstream dial failed"""
Herne Hill Media,Toronto,Ontario,https://hernehill.com/careers/jobs/,VAZIO_OU_JS,404,,"""Skip to content The page can’t be found. It looks like nothing was found at this location. HOME 171 East Liberty Street, Unit 220 Toronto, Ontario M6K 3P6"""
Icejam,Charlottetown,Prince Edward Island,http://icejam.com/jobs/,VAZIO_OU_JS,502,,"""bridge error read ECONNRESET"""
ImagineDreams Studios,Edmonton,Alberta,https://imaginedreams.ca/careers/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Jumb-O-Fun Games,Kelowna,British Columbia,http://www.jumbofungames.com/jobs/,VAZIO_OU_JS,404,,"""Not Found The requested URL was not found on this server. Additionally, a 404 Not Found error was encountered while trying to use an ErrorDocument to handle the request."""
JumpStart Games,Vancouver,British Columbia,http://www.jumpstart.com/aboutus/careers,VAZIO_OU_JS,502,,"""upstream dial failed"""
KOKO Productions,Vancouver,British Columbia,http://kokoproductions.com/#welcome,VAZIO_OU_JS,200,,"""WHAT WE DO WHO WE ARE CONTACT See sound differently. A NOTE FROM THEA SITE BY: DZINENMOTION.COM"""
Little Tugboat,Toronto,Ontario,http://littletugboat.com/ltb2/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Lofty Sky,Toronto,Ontario,http://loftysky.com/contact-us/,VAZIO_OU_JS,500,,"""Error establishing a database connection"""
Loki Visual Effects,Toronto,Ontario,http://www.lokivfx.com,VAZIO_OU_JS,502,,"""upstream dial failed"""
Loud Roar Productions,Toronto,Ontario,https://loudroarproductions.com/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Lunarch Studios,Toronto,Ontario,http://lunarchstudios.com/#careers,VAZIO_OU_JS,502,,"""bridge error certificate has expired"""
MARZ VFX,Toronto,Ontario,https://monstersaliensrobotszombies.humi.ca/job-board,VAZIO_OU_JS,404,,"""Job Board Job Board Not Configured English (Canada)"""
Mad Snow Studios,Ottawa,Ontario,http://madsnowstudios.ca/,VAZIO_OU_JS,502,,"""upstream dial failed"""
Mark Media,Toronto,Ontario,http://www.markmedia.co/careers/,VAZIO_OU_JS,502,,"""bridge error Hostname/IP does not match certificate's altnames: Host: www.markmedia.co. is not in the cert's altnames: DNS:museum.mminternals.com, DNS:web2.mminternals.com"""
Morro Images,St Catharines,Ontario,http://www.morroimages.com/,VAZIO_OU_JS,502,,"""bridge error write EPROTO C0BCEF49AC7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:918:SSL alert number 80"""
Nanu Interactive,Vancouver,British Columbia,http://nanuinteractive.com/,VAZIO_OU_JS,200,,"""Nanu Interactive This site exists as a simple corporate home page. © Nanu Interactive."""
New Machine Studios,Calgary,Alberta,http://www.newmachinestudios.com/,VAZIO_OU_JS,200,,"""New Machine Studios ...will be back. We're making a new site so watch these floating bubbles for now."""
Nilian Studios,Toronto,Ontario,https://nilianstudios.ca/,VAZIO_OU_JS,502,,"""upstream dial failed"""
OATS STUDIOS,Vancouver,British Columbia,http://oatsstudios.com/,VAZIO_OU_JS,200,,"""Contact Watch Anthem Bad President Rakka Firebase Zygote ADAM God Cooking With Bill Gdansk Kapture Praetoria LIMA © 2026 Serscha Studios Ltd. All Rights Reserved."""
Pixels & Coffee Media,Cambridge,Ontario,http://www.pixelsncoffee.com/,VAZIO_OU_JS,502,,"""upstream dial failed"""
PolyPixel Design,Vancouver,British Columbia,http://www.polypixel3d.com/,VAZIO_OU_JS,200,,""""""
QI Software,Calgary,Alberta,https://jobs.qi.games/jobs,VAZIO_OU_JS,502,,"""upstream dial failed"""
Rival Schools,Vancouver,British Columbia,http://rivalschools.tv/,VAZIO_OU_JS,502,,"""bridge error certificate has expired"""
Serious Labs,Edmonton,Alberta,http://seriouslabs.com/about-us/careers/,VAZIO_OU_JS,404,,"""Not Found"""
Side Street Post,Vancouver,British Columbia,http://www.sidestreetpost.com/,VAZIO_OU_JS,404,,"""Website Expired This account has expired. If you are the site owner, click below to login."""
Silver Dice Games,Vancouver,British Columbia,https://www.silverdice.ca/careers,VAZIO_OU_JS,404,,"""Skip to main content Skip to navigation SILVER DICE GAMES 404 The page you have entered does not exist Go to site home Google Sites Report abuse"""
Sloan Motion Pictures,Whitby,Ontario,http://sloanmotionpictures.com/,VAZIO_OU_JS,200,,"""Sloan Motion Pictures info@sloanmotionpictures.com"""
Smiley Guy Studios,Toronto,Ontario,http://www.smileyguy.com/contact/,VAZIO_OU_JS,502,,"""bridge error write EPROTO C0BCEF49AC7F0000:error:0A000410:SSL routines:ssl3_read_bytes:ssl/tls alert handshake failure:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:918:SSL alert number 40"""
Snowball Studios,Toronto,Ontario,https://snowball.bamboohr.com/jobs/,VAZIO_OU_JS,400,,"""use CONNECT"""
Solstice Studios,Vancouver,British Columbia,https://solstice-studios.com/careers/,VAZIO_OU_JS,500,,""""""
Someone's Cousin,Toronto,Ontario,http://www.someonescousin.com/contact-us/,VAZIO_OU_JS,404,,"""ERROR: PAGE NOT FOUND 404 This page isn’t available. Go to Homepage"""
Star Fort Games,Ottawa,Ontario,https://www.starfortgames.com/careers,VAZIO_OU_JS,404,,"""404: Not Found We couldn’t find that page, please check the URL and try again."""
Stray Titan Studio,Vancouver,British Columbia,https://www.straytitanstudio.com/,VAZIO_OU_JS,404,,"""Website Expired This account has expired. If you are the site owner, click below to login."""
Switch VFX & Animation,Toronto,Ontario,http://www.switchvfx.com/,VAZIO_OU_JS,200,,"""Site Not Found Well, this is awkward. The site you're looking for is not here. Is this your site? Get more info or contact support. DreamHost"""
TOPIX Animation,Toronto,Ontario,http://www.topixfx.com/,VAZIO_OU_JS,502,,"""bridge error certificate has expired"""
That Animation Company,Halifax,Nova Scotia,https://thatanimationcompany.com/,VAZIO_OU_JS,502,,"""bridge error read ECONNRESET"""
The Other End,Toronto,Ontario,https://www.theotherend.ca/join-us,VAZIO_OU_JS,502,,"""bridge error Hostname/IP does not match certificate's altnames: Host: www.theotherend.ca. is not in the cert's altnames: DNS:*.prod.sxb1.secureserver.net, DNS:prod.sxb1.secureserver.net"""
The Sawmill,Vancouver,British Columbia,http://thesawmill.ca/,VAZIO_OU_JS,404,,"""Website Expired This account has expired. If you are the site owner, click below to login."""
The VFX Cloud,Vancouver,British Columbia,https://vfxcloud.com/recruiting.html,VAZIO_OU_JS,404,,"""404 This page could not be found."""
Tiny Titan Studios,London,Ontario,http://www.tinytitanstudios.com/careers,VAZIO_OU_JS,502,,"""upstream dial failed"""
Umbral Entertainment,Vancouver,British Columbia,http://www.umbralentertainment.com/,VAZIO_OU_JS,502,,"""bridge error certificate has expired"""
VAANDAL Creative Inc.,Toronto,Ontario,http://www.vaandal.com/,VAZIO_OU_JS,404,,"""404. So long, and thanks for all the fish."""
Victory Arts,Ottawa,Ontario,http://victoryarts.com/,VAZIO_OU_JS,200,,"""MAIN VICTORY ARTS OUR BRANDS WHAT'S NEW"""
Wonderlust,Halifax,Nova Scotia,https://www.wonderlustmedia.ca/info,VAZIO_OU_JS,404,,"""404 Page not found The page you are looking for doesn't exist or has been moved."""
XCAVE Real-time Studio,Vancouver,British Columbia,https://www.xcave.cc/,VAZIO_OU_JS,502,,"""upstream dial failed"""
